URL,URL_LENGTH,TLD,SERVER,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_ZIPCODE,WHOIS_CITY,CONTENT_ENCODING,CONTENT_TYPE,TYPE
http://Unlock-Apple-iPhone.com?kw={keyword},43,com,nginx,Maryland,0,1,1,0,text/html; charset=utf-8,1
http://tyydsweb.tripod.com/correo/,34,com,nginx/1.18.0,Kansas,0,0,0,0,text/html,1
http://tiny.cc/oxb12x,21,cc,nginx,New Jersey,0,1,1,1,text/html,1
http://webersfab.ca/login,25,ca,Apache,Ontario,1,1,1,1,text/html; charset=UTF-8,1
http://oihc.ca/wp-content/spm/index.html,40,ca,Apache,Kansas,0,0,0,1,text/html; charset=UTF-8,1
http://royalsrestaurant.com/Googledoc,37,com,Apache,Kansas,0,0,0,0,text/html; charset=UTF-8,1
http://royalsrestaurant.com/Googledoc/,38,com,Apache,Kansas,0,0,0,0,text/html; charset=UTF-8,1
http://barbscentrefordance.com/wp-admin/user/aloo/Welcome%20to%20AOL.htm,72,com,openresty,Kansas,0,0,0,0,text/html,1
http://saucymixtress.com/pp/1e93404f188ddc9cf9b16c64e97af9f3,60,com,openresty,Kansas,0,0,0,0,text/html,1
http://saucymixtress.com/pp/1e93404f188ddc9cf9b16c64e97af9f3/login.php?cmd=_login-run,85,com,openresty,Kansas,0,0,0,0,text/html,1
http://bonjourdrycleaners.co.uk/olololioghfkhgdfgkdhgkfkl/googledocss/sss/index.htm,83,co.uk,Apache/2.4.46 (Unix) OpenSSL/1.1.1d,Oregon,0,1,1,0,text/html; charset=iso-8859-1,1
http://bonjourdrycleaners.co.uk/olololioghfkhgdfgkdhgkfkl/googledocss/sss/index.htm,83,co.uk,Apache/2.4.46 (Unix) OpenSSL/1.1.1d,Oregon,0,1,1,0,text/html; charset=iso-8859-1,1
http://qarkuberat.gov.al/wp-includes/SimplePie/Decode/HTML/DropBoxDocument/DropBox/,83,gov.al,Apache,Arizona,0,1,1,0,text/html; charset=UTF-8,1
http://titanicradio.sonixfm.com/js/mi/,38,com,Apache/2.4.10 (Debian),Ontario,0,0,0,0,text/html; charset=iso-8859-1,1
http://singtolive.org//images/jdownloads/screenshots/standardbank2/inet.php,75,org,Apache,Kansas,0,0,0,0,text/html; charset=iso-8859-1,1
http://auto-bits.co.uk/lib/tmp-system/se/index2.php,51,co.uk,Apache,England,0,1,1,0,text/html; charset=UTF-8,1
http://big-online.ldcinfo.com/myacct/login,42,com,LiteSpeed,Québec,0,1,1,0,text/html,1
http://gaev.com.ar/newforo/Themes/gaev/images/newlink.htm,57,com.ar,Apache,Québec,0,1,1,0,text/html; charset=UTF-8,1
http://jvpbusinesssolutions.com/service/dropboxhq/spool/,56,com,cloudflare,Kansas,0,0,0,0,text/html; charset=utf-8,1
http://jvpbusinesssolutions.com/service/dropboxhq/spool/index.php,65,com,cloudflare,Kansas,0,0,0,0,text/html; charset=utf-8,1
http://tdhcommunications.com/c/,31,com,Apache,Kansas,1,0,0,0,text/html; charset=iso-8859-1,1
http://tdhcommunications.com/c/index.php,40,com,Apache,Kansas,1,0,0,0,text/html; charset=iso-8859-1,1
